timestamp,image_path,servo_angle,dc_motor_speed
20251214_140441_377,20251214_140441_377_angle90_speed60.png,90,60
20251214_140441_494,20251214_140441_494_angle90_speed60.png,90,60
20251214_140441_558,20251214_140441_558_angle90_speed60.png,90,60
20251214_140441_594,20251214_140441_594_angle90_speed60.png,90,60
20251214_140441_658,20251214_140441_658_angle90_speed60.png,90,60
20251214_140441_694,20251214_140441_694_angle90_speed60.png,90,60
20251214_140441_758,20251214_140441_758_angle90_speed60.png,90,60
20251214_140441_794,20251214_140441_794_angle90_speed60.png,90,60
20251214_140441_858,20251214_140441_858_angle90_speed60.png,90,60
20251214_140441_894,20251214_140441_894_angle90_speed60.png,90,60
20251214_140441_958,20251214_140441_958_angle90_speed60.png,90,60
20251214_140441_994,20251214_140441_994_angle90_speed60.png,90,60
20251214_140442_058,20251214_140442_058_angle90_speed60.png,90,60
20251214_140442_094,20251214_140442_094_angle90_speed60.png,90,60
20251214_140442_158,20251214_140442_158_angle90_speed60.png,90,60
20251214_140442_194,20251214_140442_194_angle90_speed60.png,90,60
20251214_140442_258,20251214_140442_258_angle90_speed60.png,90,60
20251214_140442_294,20251214_140442_294_angle90_speed60.png,90,60
20251214_140442_358,20251214_140442_358_angle90_speed60.png,90,60
20251214_140442_394,20251214_140442_394_angle90_speed60.png,90,60
20251214_140442_458,20251214_140442_458_angle90_speed50.png,90,50
20251214_140442_494,20251214_140442_494_angle90_speed50.png,90,50
20251214_140442_558,20251214_140442_558_angle90_speed50.png,90,50
20251214_140442_594,20251214_140442_594_angle90_speed50.png,90,50
20251214_140442_658,20251214_140442_658_angle90_speed50.png,90,50
20251214_140442_694,20251214_140442_694_angle90_speed50.png,90,50
20251214_140442_758,20251214_140442_758_angle90_speed50.png,90,50
20251214_140442_794,20251214_140442_794_angle90_speed50.png,90,50
20251214_140442_858,20251214_140442_858_angle90_speed50.png,90,50
20251214_140442_894,20251214_140442_894_angle90_speed50.png,90,50
20251214_140442_958,20251214_140442_958_angle90_speed50.png,90,50
20251214_140442_994,20251214_140442_994_angle90_speed50.png,90,50
20251214_140443_058,20251214_140443_058_angle90_speed50.png,90,50
20251214_140443_148,20251214_140443_148_angle90_speed50.png,90,50
20251214_140443_199,20251214_140443_199_angle90_speed50.png,90,50
20251214_140443_289,20251214_140443_289_angle90_speed50.png,90,50
20251214_140443_351,20251214_140443_351_angle90_speed50.png,90,50
20251214_140443_407,20251214_140443_407_angle90_speed50.png,90,50
20251214_140443_545,20251214_140443_545_angle90_speed50.png,90,50
20251214_140443_587,20251214_140443_587_angle90_speed50.png,90,50
20251214_140443_670,20251214_140443_670_angle90_speed50.png,90,50
20251214_140443_758,20251214_140443_758_angle90_speed50.png,90,50
20251214_140443_850,20251214_140443_850_angle90_speed50.png,90,50
20251214_140443_934,20251214_140443_934_angle90_speed50.png,90,50
20251214_140444_045,20251214_140444_045_angle90_speed50.png,90,50
20251214_140444_220,20251214_140444_220_angle90_speed50.png,90,50
20251214_140444_308,20251214_140444_308_angle90_speed50.png,90,50
20251214_140446_043,20251214_140446_043_angle90_speed50.png,90,50
20251214_140446_094,20251214_140446_094_angle90_speed50.png,90,50
20251214_140446_158,20251214_140446_158_angle90_speed50.png,90,50
20251214_140446_194,20251214_140446_194_angle90_speed50.png,90,50
20251214_140446_258,20251214_140446_258_angle90_speed50.png,90,50
20251214_140446_294,20251214_140446_294_angle90_speed50.png,90,50
20251214_140446_358,20251214_140446_358_angle90_speed50.png,90,50
20251214_140446_394,20251214_140446_394_angle90_speed50.png,90,50
20251214_140446_458,20251214_140446_458_angle90_speed50.png,90,50
20251214_140446_494,20251214_140446_494_angle90_speed50.png,90,50
20251214_140446_558,20251214_140446_558_angle90_speed50.png,90,50
20251214_140446_594,20251214_140446_594_angle90_speed50.png,90,50
20251214_140446_658,20251214_140446_658_angle90_speed50.png,90,50
20251214_140446_694,20251214_140446_694_angle90_speed50.png,90,50
20251214_140446_758,20251214_140446_758_angle90_speed50.png,90,50
