timestamp,image_path,servo_angle,dc_motor_speed
20251128_190508_914,20251128_190508_914_angle90_speed60.png,90,60
20251128_190509_038,20251128_190509_038_angle90_speed60.png,90,60
20251128_190509_133,20251128_190509_133_angle90_speed60.png,90,60
20251128_190509_233,20251128_190509_233_angle90_speed60.png,90,60
20251128_190509_333,20251128_190509_333_angle90_speed60.png,90,60
20251128_190509_434,20251128_190509_434_angle90_speed60.png,90,60
20251128_190509_533,20251128_190509_533_angle90_speed60.png,90,60
20251128_190509_633,20251128_190509_633_angle90_speed60.png,90,60
20251128_190509_733,20251128_190509_733_angle90_speed60.png,90,60
20251128_190509_833,20251128_190509_833_angle90_speed60.png,90,60
20251128_190509_933,20251128_190509_933_angle90_speed60.png,90,60
20251128_190510_033,20251128_190510_033_angle90_speed60.png,90,60
20251128_190510_133,20251128_190510_133_angle90_speed60.png,90,60
20251128_190510_233,20251128_190510_233_angle90_speed60.png,90,60
20251128_190510_333,20251128_190510_333_angle90_speed60.png,90,60
20251128_190510_416,20251128_190510_416_angle90_speed50.png,90,50
20251128_190510_536,20251128_190510_536_angle90_speed50.png,90,50
20251128_190510_608,20251128_190510_608_angle90_speed50.png,90,50
20251128_190510_683,20251128_190510_683_angle90_speed50.png,90,50
20251128_190510_817,20251128_190510_817_angle90_speed50.png,90,50
20251128_190510_922,20251128_190510_922_angle90_speed50.png,90,50
20251128_190511_070,20251128_190511_070_angle90_speed50.png,90,50
20251128_190511_153,20251128_190511_153_angle90_speed50.png,90,50
20251128_190511_233,20251128_190511_233_angle90_speed50.png,90,50
20251128_190511_314,20251128_190511_314_angle90_speed50.png,90,50
20251128_190511_398,20251128_190511_398_angle90_speed50.png,90,50
20251128_190511_472,20251128_190511_472_angle90_speed50.png,90,50
20251128_190511_575,20251128_190511_575_angle90_speed50.png,90,50
20251128_190511_665,20251128_190511_665_angle90_speed50.png,90,50
20251128_190511_754,20251128_190511_754_angle90_speed50.png,90,50
20251128_190511_878,20251128_190511_878_angle90_speed50.png,90,50
20251128_190511_956,20251128_190511_956_angle90_speed50.png,90,50
20251128_190513_363,20251128_190513_363_angle90_speed50.png,90,50
20251128_190513_433,20251128_190513_433_angle90_speed50.png,90,50
20251128_190513_534,20251128_190513_534_angle90_speed50.png,90,50
20251128_190513_633,20251128_190513_633_angle90_speed50.png,90,50
20251128_190513_733,20251128_190513_733_angle90_speed50.png,90,50
20251128_190513_833,20251128_190513_833_angle90_speed50.png,90,50
20251128_190513_933,20251128_190513_933_angle90_speed50.png,90,50
20251128_190514_033,20251128_190514_033_angle90_speed50.png,90,50
20251128_190514_133,20251128_190514_133_angle90_speed50.png,90,50
20251128_190514_233,20251128_190514_233_angle90_speed50.png,90,50
20251128_190514_333,20251128_190514_333_angle90_speed50.png,90,50
20251128_190514_433,20251128_190514_433_angle90_speed50.png,90,50
20251128_190514_533,20251128_190514_533_angle90_speed50.png,90,50
20251128_190514_633,20251128_190514_633_angle90_speed50.png,90,50
20251128_190514_733,20251128_190514_733_angle90_speed50.png,90,50
20251128_190514_881,20251128_190514_881_angle90_speed50.png,90,50
20251128_190514_979,20251128_190514_979_angle90_speed50.png,90,50
20251128_190515_069,20251128_190515_069_angle90_speed50.png,90,50
20251128_190515_165,20251128_190515_165_angle90_speed50.png,90,50
20251128_190515_239,20251128_190515_239_angle90_speed50.png,90,50
20251128_190515_335,20251128_190515_335_angle90_speed50.png,90,50
20251128_190515_433,20251128_190515_433_angle90_speed50.png,90,50
20251128_190515_557,20251128_190515_557_angle90_speed50.png,90,50
20251128_190515_628,20251128_190515_628_angle90_speed50.png,90,50
20251128_190515_706,20251128_190515_706_angle40_speed50.png,40,50
20251128_190515_789,20251128_190515_789_angle40_speed50.png,40,50
20251128_190515_859,20251128_190515_859_angle40_speed50.png,40,50
20251128_190515_932,20251128_190515_932_angle40_speed50.png,40,50
20251128_190516_005,20251128_190516_005_angle40_speed50.png,40,50
20251128_190517_202,20251128_190517_202_angle90_speed50.png,90,50
20251128_190517_297,20251128_190517_297_angle90_speed50.png,90,50
20251128_190517_365,20251128_190517_365_angle90_speed50.png,90,50
20251128_190517_434,20251128_190517_434_angle90_speed50.png,90,50
20251128_190517_533,20251128_190517_533_angle90_speed50.png,90,50
20251128_190517_633,20251128_190517_633_angle90_speed50.png,90,50
20251128_190517_733,20251128_190517_733_angle40_speed50.png,40,50
20251128_190517_833,20251128_190517_833_angle40_speed50.png,40,50
20251128_190517_933,20251128_190517_933_angle40_speed50.png,40,50
20251128_190518_033,20251128_190518_033_angle40_speed50.png,40,50
20251128_190518_133,20251128_190518_133_angle40_speed50.png,40,50
20251128_190518_233,20251128_190518_233_angle40_speed50.png,40,50
20251128_190518_333,20251128_190518_333_angle40_speed50.png,40,50
20251128_190518_433,20251128_190518_433_angle40_speed50.png,40,50
20251128_190518_533,20251128_190518_533_angle90_speed50.png,90,50
20251128_190518_633,20251128_190518_633_angle90_speed50.png,90,50
20251128_190518_733,20251128_190518_733_angle90_speed50.png,90,50
20251128_190518_833,20251128_190518_833_angle90_speed50.png,90,50
20251128_190518_933,20251128_190518_933_angle90_speed50.png,90,50
20251128_190519_033,20251128_190519_033_angle90_speed50.png,90,50
20251128_190519_103,20251128_190519_103_angle90_speed50.png,90,50
20251128_190519_197,20251128_190519_197_angle90_speed50.png,90,50
20251128_190519_309,20251128_190519_309_angle90_speed50.png,90,50
20251128_190519_423,20251128_190519_423_angle90_speed50.png,90,50
20251128_190520_556,20251128_190520_556_angle0_speed50.png,0,50
20251128_190520_633,20251128_190520_633_angle0_speed50.png,0,50
20251128_190520_733,20251128_190520_733_angle0_speed50.png,0,50
20251128_190520_833,20251128_190520_833_angle0_speed50.png,0,50
20251128_190520_933,20251128_190520_933_angle40_speed50.png,40,50
20251128_190521_033,20251128_190521_033_angle40_speed50.png,40,50
20251128_190521_133,20251128_190521_133_angle40_speed50.png,40,50
20251128_190521_233,20251128_190521_233_angle40_speed50.png,40,50
20251128_190521_333,20251128_190521_333_angle40_speed50.png,40,50
20251128_190521_433,20251128_190521_433_angle40_speed50.png,40,50
20251128_190521_533,20251128_190521_533_angle40_speed50.png,40,50
20251128_190521_633,20251128_190521_633_angle40_speed50.png,40,50
20251128_190521_733,20251128_190521_733_angle40_speed50.png,40,50
20251128_190521_833,20251128_190521_833_angle40_speed50.png,40,50
20251128_190521_933,20251128_190521_933_angle40_speed50.png,40,50
20251128_190522_033,20251128_190522_033_angle40_speed50.png,40,50
